,17_group,18_group,blended,fall_1,fall_2,fall_3,id,is_first_place,is_first_time,is_last_place,is_mi,is_ml_student,percentile,rating,spring_1,spring_2,spring_3,timestamp
123,0.0,183.0,,Моделирование временных рядов,Матричные вычисления,Язык SQL,25a3ce0eea214df2aa6d25d395d594f0,False,Да,False,0.0,0.0,0.4394618834080718,644,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,2020-05-18 21:10:54.229
124,0.0,187.0,,Безопасность компьютерных систем,Язык SQL,Матричные вычисления,be4fa2120de3397ae21eac38ff0060e3,False,Да,False,0.0,0.0,0.9910313901345291,502,Промышленное программирование на языке Java,Численные методы,Машинное обучение 2,2020-05-18 21:12:00.134
125,0.0,187.0,,Безопасность компьютерных систем,Язык SQL,Матричные вычисления,ac4e2062ca444a506991c212bd2dd872,False,Нет,False,0.0,0.0,0.8161434977578476,562,Промышленное программирование на языке Java,Анализ данных в бизнесе,Численные методы,2020-05-18 21:12:29.736
126,0.0,188.0,,Безопасность компьютерных систем,Матричные вычисления,Statistical Learning Theory,9c2251ef9825947b98265e4bfa887bcf,False,Да,False,0.0,0.0,0.3766816143497758,658,Дискретная оптимизация,Промышленное программирование на языке Java,Компьютерные сети,2020-05-18 21:13:08.747
127,0.0,185.0,,Язык SQL,Матричные вычисления,Сбор и обработка данных с помощью краудсорсинга,f0db08ec702a03450390efdca4166cc2,False,Нет,False,0.0,1.0,0.6367713004484306,603,Промышленное программирование на языке Java,Дискретная оптимизация,Компьютерные сети,2020-05-18 21:15:01.777
128,0.0,185.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Матричные вычисления,a6ce02b12540bca3cdd15757f8a2e919,False,Да,False,0.0,0.0,0.663677130044843,597,Компьютерные сети,Промышленное программирование на языке Java,Анализ данных в бизнесе,2020-05-18 21:15:58.617
129,0.0,182.0,,Безопасность компьютерных систем,Язык SQL,Теория баз данных,f3cc62fabaa597e8fe0b20ac2e6f46d3,False,Да,False,0.0,1.0,0.05829596412556048,742,Промышленное программирование на языке Java,Дискретная оптимизация,Компьютерные сети,2020-05-18 21:17:01.633
130,0.0,186.0,,Безопасность компьютерных систем,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,feb53dcdd28fff9dc4a981c3419fea6f,False,Нет,True,1.0,0.0,0.968609865470852,521,Промышленное программирование на языке Java,Анализ данных в бизнесе,Машинное обучение 2,2020-05-18 21:19:50.620
131,0.0,187.0,,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга,Теория баз данных,876b1fbacdfe36cb2e3927aea554b1ff,False,Да,False,1.0,0.0,0.3632286995515696,660,Анализ данных в бизнесе,Системы баз данных,Промышленное программирование на языке Java,2020-05-18 21:24:21.198
132,0.0,187.0,,Моделирование временных рядов,Матричные вычисления,Язык SQL,6ed89e424179b0510e3f7c0cb7369ad6,False,Да,False,0.0,1.0,0.8385650224215246,558,Анализ данных в бизнесе,Промышленное программирование на языке Java,Машинное обучение 2,2020-05-18 21:24:23.667
133,0.0,187.0,,Сбор и обработка данных с помощью краудсорсинга,Матричные вычисления,Моделирование временных рядов,e83471de8976e4fcfccf4ef417f07192,False,Да,False,0.0,0.0,0.3587443946188341,661,Системы баз данных,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,2020-05-18 21:26:52.105
